PrintedDate,ItemCode,Description,Price,Cost,Quantity
2019-02-12 17:22:45,00075,Classic Long Dress KK07 L,90000.0,59000.0,0.0
2019-02-12 17:22:45,00076,Classic Long Dress KK09 L,90000.0,59000.0,0.0
2019-02-12 17:22:45,00077,Classic Long Dress KK09 XL,90000.0,59000.0,0.0
2019-02-12 17:22:45,00078,Classic Long Dress KK10 M,90000.0,59000.0,0.0
2019-02-12 17:22:45,00079,Classic Long Dress KK11 L,90000.0,59000.0,0.0
2019-02-12 17:22:45,00080,Kania Odress OK01 M,207000.0,150000.0,1.0
2019-02-12 17:22:45,00081,Kania Odress OK02 S,207000.0,150000.0,0.0
2019-02-12 17:22:45,00082,Kania Odress OK03 L,207000.0,150000.0,1.0
2019-02-12 17:22:45,00083,Kania Odress OK03 XL,207000.0,150000.0,1.0
2019-02-12 17:22:45,00084,Kania Odress OK04 L,207000.0,150000.0,0.0
2019-02-12 17:22:45,00085,Kania Odress OK05 XL,207000.0,150000.0,1.0
2019-02-12 17:22:45,00086,Lenna Odress elektrik M,207000.0,150000.0,0.0
2019-02-12 17:22:45,00087,Lenna Odress fanta M,207000.0,150000.0,1.0
2019-02-12 17:22:45,00088,Lenna Odress milo L,207000.0,150000.0,1.0
2019-02-12 17:22:45,00089,Leandra Odress mint M,225000.0,162500.0,0.0
2019-02-12 17:22:45,00090,Leandra Odress coklat batang S,225000.0,162500.0,0.0
2019-02-12 17:22:45,00091,Ayunda Odress 02 M,195000.0,140000.0,0.0
2019-02-12 17:22:45,00092,Ayunda Odress 02 L,195000.0,140000.0,1.0
2019-02-12 17:22:45,00093,Ayra Musleema abu muda L,210000.0,141500.0,1.0
2019-02-12 17:22:45,00094,Sefia Musleema coklat tanah,225000.0,151300.0,0.0
2019-02-12 17:22:45,00095,Parkit Wanoja hitam XS,300000.0,245000.0,0.0
2019-02-12 17:22:45,00096,Parkit Wanoja mustard M,300000.0,245000.0,0.0
2019-02-12 17:22:45,00097,Parkit Wanoja maroon M,300000.0,245000.0,0.0
2019-02-12 17:22:45,00098,Parkit Wanoja navy M,300000.0,245000.0,0.0
2019-02-12 17:22:45,00099,Parkit Wanoja dusty purple S,300000.0,245000.0,0.0
2019-02-12 17:22:45,00100,Ibis Wanoja cream XXL,305000.0,250000.0,1.0
2019-02-12 17:22:45,00101,Ibis Wanoja turqis XXL,305000.0,250000.0,0.0
2019-02-12 17:22:45,00102,Camar Wanoja black XS,295000.0,211500.0,0.0
2019-02-12 17:22:45,00103,Camar Wanoja black L,295000.0,211500.0,0.0
2019-02-12 17:22:45,00104,Camar Wanoja black XL,295000.0,211500.0,1.0
2019-02-12 17:22:45,00105,Camar Wanoja black Jumbo,295000.0,211500.0,0.0
2019-02-12 17:22:45,00106,Camar Wanoja navy XS,295000.0,211500.0,0.0
2019-02-12 17:22:45,00107,Camar Wanoja navy XL,295000.0,211500.0,0.0
2019-02-12 17:22:45,00108,Camar Wanoja biru pastel XS,295000.0,211500.0,0.0
2019-02-12 17:22:45,00109,Anis Wanoja pink grey XL,267000.0,191900.0,1.0
2019-02-12 17:22:45,00110,Anis Wanoja pink grey XXL,267000.0,191900.0,1.0
2019-02-12 17:22:45,00111,Anis Wanoja navy light coral JMB,267000.0,191900.0,0.0
2019-02-12 17:22:45,00112,Anis Wanoja light coral navy XXL,267000.0,191900.0,1.0
2019-02-12 17:22:45,00113,Gelatik Set black M,395000.0,346000.0,0.0
2019-02-12 17:22:45,00114,Gelatik Set navy S,395000.0,346000.0,0.0
2019-02-12 17:22:45,00115,Gelatik Set navy M,395000.0,346000.0,0.0
2019-02-12 17:22:45,00116,Gelatik Set dusty pink S,395000.0,346000.0,0.0
2019-02-12 17:22:45,00117,Gelatik Set dusty pink M,395000.0,346000.0,0.0
2019-02-12 17:22:45,00118,Nuri Set Wanoja aquamarine M,442000.0,336500.0,0.0
2019-02-12 17:22:45,00119,Nuri Set Wanoja aquamarine L,442000.0,336500.0,1.0
2019-02-12 17:22:45,00120,Nuri Set Wanoja pastel purple L,442000.0,336500.0,1.0
2019-02-12 17:22:45,00121,Mukena Rayon Premium MP143,145000.0,101500.0,0.0
2019-02-12 17:22:45,00122,Mukena Rayon Premium MP167,145000.0,101500.0,-1.0
2019-02-12 17:22:45,00123,Mukena Rayon Premium MP169,145000.0,101500.0,0.0
2019-02-12 17:22:45,00124,Mukena Rayon Premium MP171,145000.0,101500.0,0.0
2019-02-12 17:22:45,00125,Mukena Rayon Premium MP179,140000.0,101500.0,0.0
2019-02-12 17:22:45,00126,Mukena Rayon Premium kuning,165000.0,115500.0,0.0
2019-02-12 17:22:45,00127,Mukena Rayon Premium tosca,165000.0,115500.0,0.0
2019-02-12 17:22:45,00128,JP Nida ungu,12000.0,6000.0,9.0
2019-02-12 17:22:45,00129,JP Nida peach,12000.0,6000.0,5.0
2019-02-12 17:22:45,00130,JP Nida pink,12000.0,6000.0,-1.0
2019-02-12 17:22:45,00131,JP Nida mint,12000.0,6000.0,10.0
2019-02-12 17:22:45,00132,JP Nida putih,11000.0,5800.0,2.0
2019-02-12 17:22:45,00133,Kaos Kaki Jempol Nida Motif bunga kecil,13000.0,7000.0,0.0
2019-02-12 17:22:45,00134,Kaos Kaki Jempol Nida Motif kotak,13000.0,7000.0,0.0
2019-02-12 17:22:45,00135,Kaos Kaki Jempol Nida Motif kupu,13000.0,7000.0,0.0
2019-02-12 17:22:45,00136,Kaos Kaki Jempol Nida Motif gelang kaki,13000.0,7000.0,0.0
2019-02-12 17:22:45,00137,Kaos Kaki Syakira seri sarah,100000.0,72000.0,0.0
2019-02-12 17:22:45,00138,Kaos Kaki Syakira seri safana,100000.0,72000.0,0.0
2019-02-12 17:22:45,00139,Kaos Kaki Syakira seri lubna,100000.0,72000.0,0.0
2019-02-12 17:22:45,00140,Kaos Kaki Syakira seri sajidah,100000.0,72000.0,0.0
2019-02-12 17:22:45,00141,Kaos Kaki Syakira seri syahla,100000.0,72000.0,-1.0
2019-02-12 17:22:45,00142,Kaos Kaki Syakira seri nusaiba,100000.0,72000.0,0.0
2019-02-12 17:22:45,00143,Manset Basic Polos dongker,15000.0,5700.0,0.0
2019-02-12 17:22:45,00144,Manset Basic Polos putih,15000.0,5700.0,2.0
2019-02-12 17:22:45,00145,Manset Basic Polos biru,15000.0,5700.0,0.0
2019-02-12 17:22:45,00146,Manset Basic Polos lavender,15000.0,5700.0,0.0
2019-02-12 17:22:45,00147,Manset Basic Polos baby pink,15000.0,5700.0,1.0
2019-02-12 17:22:45,00148,Manset Basic Polos krem muda,15000.0,5700.0,0.0
2019-02-12 17:22:45,00149,Manset Basic Polos maroon,15000.0,5700.0,0.0
2019-02-12 17:22:45,00150,Handsock Pita hitam,20000.0,6500.0,0.0
2019-02-12 17:22:45,00151,Handsock Polos hitam,19000.0,6000.0,0.0
2019-02-12 17:22:45,00152,Celana Rangkap ungu tua,30000.0,14000.0,0.0
2019-02-12 17:22:45,00153,Celana Rangkap dongker,30000.0,14000.0,0.0
2019-02-12 17:22:45,00154,Celana Rangkap coklat tua,30000.0,14000.0,0.0
2019-02-12 17:22:45,00155,Celana Rangkap hitam,30000.0,14000.0,0.0
2019-02-12 17:22:45,00156,Celana Rangkap maroon,30000.0,14000.0,0.0
2019-02-12 17:22:45,00157,Ciput Rajut Kupluk hitam,20000.0,8000.0,0.0
2019-02-12 17:22:45,00158,Ciput Rajut Kupluk dongker,20000.0,8000.0,0.0
2019-02-12 17:22:45,00159,Ciput Rajut Kupluk putih,20000.0,8000.0,0.0
2019-02-12 17:22:45,00160,Ciput Rajut Kupluk coklat tutung,20000.0,8000.0,0.0
2019-02-12 17:22:45,00161,Ciput Rajut Kupluk coklat tua,20000.0,8000.0,0.0
2019-02-12 17:22:45,00162,Ciput Rajut Kupluk abu muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00163,Ciput Rajut Kupluk green tea,20000.0,8000.0,0.0
2019-02-12 17:22:45,00164,Ciput Rajut Kupluk ungu muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00165,Ciput Rajut Kupluk biru laut,20000.0,8000.0,0.0
2019-02-12 17:22:45,00166,Ciput Rajut Kupluk coksu,20000.0,8000.0,0.0
2019-02-12 17:22:45,00167,Ciput Rajut Kupluk maroon,20000.0,8000.0,0.0
2019-02-12 17:22:45,00168,Ciput Rajut Kupluk dusty pink,20000.0,8000.0,0.0
2019-02-12 17:22:45,00169,Ciput Rajut Kupluk pink salem,20000.0,8000.0,0.0
2019-02-12 17:22:45,00170,Ciput Rajut Kupluk pink salem muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00171,Ciput Rajut Bandana hitam,20000.0,8000.0,0.0
2019-02-12 17:22:45,00172,Ciput Rajut Bandana dongker,20000.0,8000.0,0.0
2019-02-12 17:22:45,00173,Ciput Rajut Bandana abu muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00174,Ciput Rajut Bandana maroon tua,20000.0,8000.0,0.0
2019-02-12 17:22:45,00175,Ciput Rajut Bandana green tea,20000.0,8000.0,0.0
2019-02-12 17:22:45,00176,Ciput Rajut Bandana biru laut,20000.0,8000.0,0.0
2019-02-12 17:22:45,00177,Ciput Rajut Bandana coksu,20000.0,8000.0,0.0
2019-02-12 17:22:45,00178,Ciput Rajut Bandana ungu muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00179,Ciput Rajut Bandana pink muda,20000.0,8000.0,0.0
2019-02-12 17:22:45,00180,Ciput Rajut Bandana dusty pink,20000.0,8000.0,0.0
2019-02-12 17:22:45,00181,Ciput Rajut Kerut putih,20000.0,8000.0,0.0
2019-02-12 17:22:45,00182,Hijab Klip Wavy Original white series,35000.0,20000.0,-1.0
2019-02-12 17:22:45,00183,Hijab Klip Wavy Original pearl series,35000.0,20000.0,0.0
2019-02-12 17:22:45,00184,Hijab Klip Wavy Original classic series,35000.0,20000.0,6.0
2019-02-12 17:22:45,00185,Hijab Klip Wavy Original rose series,35000.0,20000.0,12.0
2019-02-12 17:22:45,00186,Hijab Klip Wavy Original black series,35000.0,20000.0,0.0
2019-02-12 17:22:45,00187,Kalina abu,87000.0,57900.0,0.0
2019-02-12 17:22:45,00188,Kalina benhur,87000.0,57900.0,0.0
2019-02-12 17:22:45,00189,Kalina biru,87000.0,57900.0,0.0
2019-02-12 17:22:45,00190,Kalina biru tosca,87000.0,57900.0,0.0
2019-02-12 17:22:45,00191,Kalina biru tosca tua,87000.0,57900.0,0.0
2019-02-12 17:22:45,00192,Kalina coklat tua,87000.0,57900.0,0.0
2019-02-12 17:22:45,00193,Kalina hijau army,87000.0,57900.0,0.0
2019-02-12 17:22:45,00194,Kalina magentu,87000.0,57900.0,0.0
2019-02-12 17:22:45,00195,Ciput Rajut Kupluk tosca,20000.0,8000.0,0.0
2019-02-12 17:22:45,00196,JP Nida biru,12000.0,6000.0,11.0
2019-02-12 17:22:45,00197,Hanifa L hitam,125000.0,82750.0,0.0
2019-02-12 17:22:45,00198,Classic Long Dress K236 L,85000.0,57000.0,0.0
2019-02-12 17:22:45,00199,Classic Long Dress Karina11,90000.0,60000.0,0.0
2019-02-12 17:22:45,00200,Classic Long Dress KK17 XL,90000.0,57000.0,0.0
